l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
495,34390888,32675539,110000,6,line,,110kV Hagen 1+2,markE,6765.0,,,,,
496,114697080,23084554,110000,6,line,50,110 kV Dormagen Ost|West,RWE,17352.0,,,,,Yes
497,114697080,92249619,110000,3,line,50,,,343.0,,,,,
498,89375622,26777313,110000,6,line,50,Villip Süd-Villip Nord|Süd,RWE,17891.0,,,,,Yes
499,89375622,42423415,110000,9,line,50,Villip Nord-110 kV Villip Nord|Süd- 11 kV Gelsdorf West-Villip Nord|Süd,RWE,15457.0,,,,,Yes
500,25033608,106669902,220000,12,line,50,-RWE 2613 Pöppinghausen - Wanne-110kV Pöppinghausen-Wanne + Herne-Wanne,RWE,7079.0,0.02,0.08,46.0,5.2,Yes
501,25033608,28452784,220000,12,line,50,110kV Herne-Pöppinghausen-RWE 2613 Pöppinghausen - Wanne-110kV Pöppinghausen-Wanne + Herne-Pöppinghausen-110kV Pöppinghausen-Wanne + Herne-Wanne,RWE,9987.0,0.02,0.08,46.0,5.2,Yes
502,31652745,28631954,110000,6,line,,110kV Lenne Süd+Letmathe Nord,RWE,1632.0,,,,,
503,180008191,53243834,110000,6,line,50,110 kV Dieringhausen Ost|West-110kV Dieringhausen Ost+West,RWE,13685.0,,,,,
504,92165128,156398578,110000,12,line,50,-110kV Linde West,RWE,1841.0,,,,,Yes
505,92165128,81989512,110000,6,line,50,-110kV Linde - Schwelm,RWE,11477.0,,,,,
506,86954908,86948912,110000,6,line,50,,RWE,2902.0,,,,,
507,86954908,86267675,110000,6,line,50,,RWE,5096.0,,,,,Yes
508,202580125,262931261,110000,3,line,,,RWE,116.0,,,,,
509,91323314,26623135,380000,15,line,,-110kV Eppinghoven Tr11-110kV Eppinghoven Tr11+ANK,RWE,3924.0,0.005,0.05,68.5,13.0,Yes
510,157820608,121385367,110000,12,line,,,markE,8861.0,,,,,
511,157820608,328586733,110000,6,line,,-Holthausen 1+2,markE,16958.0,,,,,
512,32148413,23084554,110000,6,line,50,-110 kV Gleuel Ost|West,RWE,18730.0,,,,,
513,88605632,23084554,110000,6,line,50,110 kV Gohr Ost|West,RWE,7935.0,,,,,
514,127187905,42874315,110000,6,line,,,RWE,8585.0,,,,,Yes
515,127187905,127189039,110000,6,line,,,RWE,16470.0,,,,,Yes
516,63114179,78164487,380000,18,line,50,-110kV Prov.Hattingen - Steinenhaus-110kV Hattingen-Witten,RWE,9641.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
517,63114179,35763481,380000,18,line,50,-110kV Steinenhaus-Witten+Prov Hattingen-Steinenhaus-110kV Prov.Hattingen - Steinenhaus-110kV Hattingen-Witten,RWE,16849.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
518,24507338,24507400,110000,,line,50,,,94.0,,,,,
519,24507338,101006214,110000,12,line,50,110 kV Ofden Nord|Süd Richterich 1|2,,5201.0,,,,,Yes
520,25506770,22689383,110000,12,line,50,-110 kV Coerder Weg Nord-110 kV Coerderweg Nord+Süd,RWE,5190.0,,,,,Yes
521,92314579,92314596,110000,6,line,50,-110kV Kleve Süd+Provisorium Hau Ost-110kV Kleve Süd+Provisorium Hüthum - Löwenberg,Westnetz-RWE,16854.0,,,,,Yes
522,92314579,91936254,110000,6,line,50,110kV Kleve Süd+Provisorium Hüthum - Löwenberg,RWE,8684.0,,,,,Yes
523,105892828,107360151,110000,6,line,50,-110kV Arnsberg-Olsberg + Lippborg-Meschede,RWE,17048.0,,,,,Yes
524,105892828,59633888,380000,12,line,50,-110kV Arnsberg-Olsberg + Lippborg-Meschede,RWE,32964.0,0.00625,0.0625,54.8,10.4,Yes
525,105892828,204125430,110000,6,line,50,-110kV Arnsberg-Olsberg + Lippborg-Meschede,Westnetz-RWE,22978.0,,,,,Yes
526,105892828,42802843,110000,6,line,50,-110kV Lippborg-Meschede+Arnsberg-Niedereimer,RWE,3442.0,,,,,Yes
527,37651426,37641349,110000,6,line,50,,Westfalen Weser Netz-E.ON,13951.0,,,,,Yes
528,37651426,25943440,380000,12,line,50,,Tennet-Westfalen Weser Netz-E.ON,13089.0,0.00625,0.0625,54.8,10.4,Yes
529,37651426,25024053,380000,12,line,50,,Tennet-Westfalen Weser Netz-avacon-E.ON,12340.0,0.00625,0.0625,54.8,10.4,Yes
530,28607657,27190807,110000,6,line,50,,EON_Netz,2297.0,,,,,Yes
531,96214014,157613270,110000,,line,,,,31.0,,,,,
532,25091074,29461975,110000,4,line,0,Sw Kirchhellen - Marl,DB_Energie,20013.0,,,,,
533,92165127,33845080,380000,15,line,50,-110kV Morsbach Ost+West-110 kV Agger- Morsbach,RWE,20459.0,0.005,0.05,68.5,13.0,Yes
534,87458849,61814022,110000,12,line,50,-110 kV Kierdorf Nord|Süd,RWE,6306.0,,,,,Yes
535,87458849,22765517,110000,12,line,50,-110 kV Kierdorf Nord|Süd,RWE,2066.0,,,,,Yes
536,266826961,266826962,110000,3,line,,,,4.0,,,,,
537,29463604,432637927,110000,6,line,50,110kV Blumenthal Ost+West-110kV Blumenthal Ost,RWE,3187.0,,,,,Yes
538,34837564,109504648,110000,8,line,0,Datteln-Münster + Marl-Datteln-Datteln2-Datteln - Münster,DB_Energie,43172.0,,,,,Yes
539,34837564,29461975,110000,4,line,0,Datteln2-Datteln - Münster-Marl - Datteln,DB_Energie,51512.0,,,,,Yes
540,23192640,91855514,220000,12,line,50,-110kV Hassels Nord+Süd-110kV Benrath Süd+Hassels Süd,RWE,12176.0,0.02,0.08,46.0,5.2,Yes
541,23192640,106096507,220000,18,line,50,-110kV Hassels Nord+Süd-110 kV Benrath Nord|Süd-110 kV Benrath Nord|Süd- Hülsberg Nord|Süd,RWE,21860.0,0.00666666666667,0.0266666666667,138.0,15.6,Yes
542,23192640,27116688,380000,18,line,50,-110kV Hassels Nord+Süd-380 kV Oerkhaus Ost- St. Peter Nord- 220 kV Itterbach Ost|West-110 kV Benrath Nord|Süd-110 kV Benrath Nord|Süd- Hülsberg Nord|Süd,RWE,21164.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
543,24462426,24479166,380000,18,line,50,-110kV Emmelsum Nord+Süd,RWE,5310.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
544,24462426,91323305,380000,18,line,50,-110kV Emmelsum Nord+Süd-110kV Sternbusch Tr13+14-Sternbusch Tr13+14,RWE,8690.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
545,24462426,107175379,110000,6,line,50,110kV Fischertor Nord+Aue Tr12,RWE,4297.0,,,,,
546,25210044,25210043,110000,6,line,,,RWE,415.0,,,,,
547,53564529,28452784,220000,12,line,50,-2601 Gersteinwerk - Pöppinghausen-110kV Derne-Pöppinghausen Süd,RWE,13612.0,0.04,0.16,23.0,2.6,Yes
548,42423415,87607291,110000,6,line,50,-110 kV Rheinbach Süd|Nord,RWE,15532.0,,,,,
549,42423415,87607280,110000,6,line,50,-110 kV Rheinbach Nord+Süd-110 kV Rheinbach Süd|Nord,RWE,16662.0,,,,,
550,42423415,25640198,110000,6,line,50,110kV Rheinbach Nord+Süd-110 kV Rheinbach Süd|Nord,RWE,5552.0,,,,,
551,37641349,25943440,110000,6,line,50,Leitung 1836,Westfalen Weser Netz,10385.0,,,,,
552,42681484,42694871,110000,6,line,50,,Westfalen Weser Netz,15729.0,,,,,Yes
